,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,,                                        1,,ACLBSL,,,                                        936.00,,                                        20.50,,                                        2.24,,                                        897.20,,                                        951.00,,                                        880.00,,"                                        8,904.00",,                                        915.50,
,,                                        2,,ADBL,,,                                        277.00,,                                        -0.50,,                                        -0.18,,                                        277.50,,                                        280.00,,                                        272.00,,"                                        63,787.00",,                                        277.50,
,,                                        3,,ADBLD83,,,"                                        1,056.10",,                                        1.10,,                                        0.10,,"                                        1,056.10",,"                                        1,056.10",,"                                        1,056.10",,                                        100.00,,"                                        1,055.00",
,,                                        4,,AHL,,,                                        469.00,,                                        7.00,,                                        1.52,,                                        471.20,,                                        480.00,,                                        455.00,,"                                        8,651.00",,                                        462.00,
,,                                        5,,AHPC,,,                                        162.60,,                                        -2.20,,                                        -1.33,,                                        165.30,,                                        167.00,,                                        162.10,,"                                        191,749.00",,                                        164.80,
,,                                        6,,AKJCL,,,                                        205.50,,                                        -0.50,,                                        -0.24,,                                        206.00,,                                        208.90,,                                        204.00,,"                                        10,419.00",,                                        206.00,
,,                                        7,,AKPL,,,                                        172.00,,                                        -0.40,,                                        -0.23,,                                        173.90,,                                        174.00,,                                        170.60,,"                                        49,409.00",,                                        172.40,
,,                                        8,,ALBSL,,,                                        995.00,,                                        45.00,,                                        4.74,,                                        945.00,,"                                        1,009.00",,                                        945.00,,"                                        35,317.00",,                                        950.00,
,,                                        9,,ALICL,,,                                        583.80,,                                        -0.60,,                                        -0.10,,                                        575.00,,                                        588.00,,                                        574.20,,"                                        17,897.00",,                                        584.40,
,,                                        10,,ANLB,,,"                                        2,400.00",,                                        16.20,,                                        0.68,,"                                        2,431.40",,"                                        2,578.00",,"                                        2,303.10",,"                                        3,389.00",,"                                        2,383.80",
,,                                        11,,API,,,                                        173.00,,                                        -1.00,,                                        -0.57,,                                        177.40,,                                        177.40,,                                        171.50,,"                                        85,640.00",,                                        174.00,
,,                                        12,,AVYAN,,,                                        860.30,,                                        11.30,,                                        1.33,,                                        864.00,,                                        882.00,,                                        833.20,,"                                        10,325.00",,                                        849.00,
,,                                        13,,BARUN,,,                                        236.00,,                                        -2.00,,                                        -0.84,,                                        233.60,,                                        241.50,,                                        233.60,,"                                        4,658.00",,                                        238.00,
,,                                        14,,BBC,,,"                                        3,752.20",,                                        41.10,,                                        1.11,,"                                        3,700.00",,"                                        3,800.00",,"                                        3,700.00",,                                        500.00,,"                                        3,711.10",
,,                                        15,,BEDC,,,                                        375.50,,                                        3.50,,                                        0.94,,                                        368.00,,                                        377.00,,                                        368.00,,"                                        10,223.00",,                                        372.00,
,,                                        16,,BFC,,,                                        406.00,,                                        2.00,,                                        0.50,,                                        411.80,,                                        411.80,,                                        397.20,,"                                        14,134.00",,                                        404.00,
,,                                        17,,BGWT,,,                                        690.20,,                                        18.20,,                                        2.71,,                                        665.00,,                                        739.20,,                                        665.00,,"                                        36,525.00",,                                        672.00,
,,                                        18,,BHDC,,,                                        556.00,,                                        9.00,,                                        1.65,,                                        545.00,,                                        578.00,,                                        534.40,,"                                        16,995.00",,                                        547.00,
,,                                        19,,BHL,,,                                        325.00,,                                        -3.00,,                                        -0.91,,                                        328.00,,                                        340.00,,                                        322.00,,"                                        3,067.00",,                                        328.00,
,,                                        20,,BHPL,,,                                        619.00,,                                        7.40,,                                        1.21,,                                        599.40,,                                        624.00,,                                        550.50,,"                                        24,181.00",,                                        611.60,
,,                                        21,,BNHC,,,                                        648.00,,                                        -72.00,,                                        -10.00,,                                        734.40,,                                        734.40,,                                        648.00,,"                                        7,827.00",,                                        720.00,
,,                                        22,,BNL,,,"                                        15,450.00",,                                        18.00,,                                        0.12,,"                                        15,123.40",,"                                        15,555.00",,"                                        15,123.40",,                                        60.00,,"                                        15,432.00",
,,                                        23,,BNT,,,"                                        12,761.10",,                                        0.10,,                                        0.00,,"                                        13,000.00",,"                                        13,000.00",,"                                        12,620.00",,                                        200.00,,"                                        12,761.00",
,,                                        24,,BOKD86,,,                                        983.00,,                                        1.00,,                                        0.10,,                                        985.00,,                                        985.00,,                                        982.00,,                                        75.00,,                                        982.00,
,,                                        25,,BPCL,,,                                        299.20,,                                        -1.80,,                                        -0.60,,                                        300.00,,                                        303.00,,                                        299.00,,"                                        12,040.00",,                                        301.00,
,,                                        26,,C30MF,,,                                        9.18,,                                        0.00,,                                        0.00,,                                        9.00,,                                        9.18,,                                        9.00,,                                        200.00,,                                        9.18,
,,                                        27,,CBBL,,,                                        858.40,,                                        5.30,,                                        0.62,,                                        854.00,,                                        860.00,,                                        845.00,,"                                        7,791.00",,                                        853.10,
,,                                        28,,CBLD88,,,"                                        1,023.10",,                                        -10.90,,                                        -1.05,,"                                        1,018.00",,"                                        1,023.10",,"                                        1,018.00",,                                        80.00,,"                                        1,034.00",
,,                                        29,,CCBD88,,,"                                        1,065.00",,                                        5.90,,                                        0.56,,"                                        1,065.00",,"                                        1,065.00",,"                                        1,065.00",,                                        25.00,,"                                        1,059.10",
,,                                        30,,CFCL,,,                                        387.00,,                                        0.40,,                                        0.10,,                                        394.30,,                                        394.30,,                                        383.40,,"                                        17,808.00",,                                        386.60,
,,                                        31,,CGH,,,                                        880.00,,                                        3.00,,                                        0.34,,                                        894.50,,                                        901.00,,                                        867.10,,"                                        43,902.00",,                                        877.00,
,,                                        32,,CHCL,,,                                        453.00,,                                        4.00,,                                        0.89,,                                        450.00,,                                        455.00,,                                        449.10,,"                                        24,376.00",,                                        449.00,
,,                                        33,,CHDC,,,                                        873.00,,                                        39.00,,                                        4.68,,                                        830.00,,                                        890.00,,                                        830.00,,"                                        216,105.00",,                                        834.00,
,,                                        34,,CHL,,,                                        327.00,,                                        -3.00,,                                        -0.91,,                                        323.60,,                                        334.00,,                                        317.20,,"                                        20,987.00",,                                        330.00,
,,                                        35,,CIT,,,"                                        2,160.00",,                                        15.00,,                                        0.70,,"                                        2,140.00",,"                                        2,160.00",,"                                        2,125.00",,"                                        7,897.00",,"                                        2,145.00",
,,                                        36,,CITY,,,                                        656.00,,                                        -14.00,,                                        -2.09,,                                        677.00,,                                        677.00,,                                        646.80,,"                                        78,847.00",,                                        670.00,
,,                                        37,,CIZBD90,,,"                                        1,050.00",,                                        -5.00,,                                        -0.47,,"                                        1,050.00",,"                                        1,050.00",,"                                        1,050.00",,                                        25.00,,"                                        1,055.00",
,,                                        38,,CKHL,,,                                        553.00,,                                        1.00,,                                        0.18,,                                        541.00,,                                        563.00,,                                        533.00,,"                                        11,349.00",,                                        552.00,
,,                                        39,,CLI,,,                                        480.10,,                                        -0.50,,                                        -0.10,,                                        475.00,,                                        488.00,,                                        475.00,,"                                        80,439.00",,                                        480.60,
